#TAG,NAME IN REPO (git url),PURPOSE
	,acpi,"battery"
	,xorg-server,"is the graphical server"
	,xorg-xinit,"starts the graphical server"
	,ttf-dejavu,"font"
	,ttf-inconsolata,"font"
	,ttf-joypixels,"font"
	,ttf-linux-libertine,"font"
	,noto-fonts,"font"
	,arandr,"is a UI for screen adjustment"
	,calcurse, "is a calendar for your terminal"
	,dunst,"is a suckless notification system"
	,exfat-utils,"allows management of FAT drives"
	,dosfstools,"assows your computer to access dos-like filesystems"
	,xcompmgr,"is a transparency and removing screen-tearing"
	,sxiv,"is a minimalist image viewer"
	,xwallpaper,"sets the wallpaper"
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme"
	,neovim,"a tidier vim with some useful features"
	,man-db,"lets you read man pages of programs"
	,mpc,"is a terminal interface for mpd"
	,mpd,"is a lightweight music deamon"
	,mpv,"is the patrician-s choiche video player"
	,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor"
	,newsboat,"is a terminal RSS client"
	,lf,"the missing terminal file manager for X"
A,brave-bin,"is an elegant browser with built-in adblocking, tor and other features"
A,bluez-alsa-git,"bluetooth"
	,ntfs-3g,"allows accessig NTFS partitions"
	,pulseaudio-alsa,"is the audio system"
	,pulsemixer,"is an audio controler"
	,pamixer,
	,flameshot,"can take quick screenshots at your request"
A,abook,"is an offline addressbook usable by neomutt"
A,surfshark-vpn,"vpn"
#A,telegram-tg,"telegram client"
	,unclutter,"hides an inactive mouse"
	,unrar,"extracts rar's"
	,unzip,"unzips zips"
	,lynx,"is a terminal browser"
	,xclip,"allows for copying and pasting from the command line"
	,rsync,"a fast, versatile, remote (and local) file-copying tool"
	,xdotool,"provides window action utilities on the command line"
	,groff,"front-end for the groff documento formatting system"
	,tlp,"apply laptop power saving settings"
	,udisks2,"interfaces to enumerate and perform operations on disks and storage devices"
	,yt-dlp,"can download any YouTube video (or playlist of channel) when given the link"
A,youtube-viewer,"youtube for command line"
	,zathura,"is a pdf viewer with vim-like bindings"
	,zathura-pdf-poppler,
	,pdftk,"pdfs manipulation tool"
	,fzf,"is a fuzzy finder tool"
	,xorg-xbacklight,"enables changing screen brightness levels"
	,transmission-gtk,"for torrenting"
	,zsh-completions,"provides some level of auto-completion"
	,alsa-firmware,"nothing special"
	,alsa-utils,"nothing special"
	,autoconf,"nothing special"
	,automake,"nothing special"
	,binutils,"nothing special"
	,bison,"nothing special"
	,blueman,"nothing special"
	,bluez-utils,"nothing special"
	,cronie,"nothing special"
	,cups,"nothing special"
	,darktable,"nothing special"
	,dash,"nothing special"
	,dialog,"nothing special"
	,dosfstools,"nothing special"
	,dunst,"nothing special"
	,fakeroot,"nothing special"
	,file,"nothing special"
	,findutils,"nothing special"
	,flex,"nothing special"
	,gawk,"nothing special"
	,gcc,"nothing special"
	,gettext,"nothing special"
	,ghostscript,"nothing special"
	,gimp,"nothing special"
	,git,"nothing special"
	,gnuplot,"nothing special"
	,grep,"nothing special"
	,gzip,"nothing special"
	,htop,"nothing special"
	,imagemagick,"nothing special"
	,intel-compute-runtime,"nothing special"
	,intel-ucode,"nothing special"
	,iptables-nft,"nothing special"
	,kdenlive,"nothing special"
	,libtool,"nothing special"
	,libva-intel-driver,"nothing special"
	,light,"nothing special"
	,m4,"nothing special"
	,make,"nothing special"
	,neofetch,"nothing special"
	,network-manager-applet,"nothing special"
	,ntp,"nothing special"
	,pacman-contrib,"nothing special"
	,patch,"nothing special"
	,pdfjs,"nothing special"
A,picom-git,"nothing special"
	,pipewire-alsa,"nothing special"
	,pipewire-jack,"nothing special"
	,pipewire-pulse,"nothing special"
	,pkgconf,"nothing special"
	,sed,"nothing special"
	,texinfo,"nothing special"
	,vulkan-intel,"nothing special"
	,which,"nothing special"
	,wireless_tools,"nothing special"
	,xf86-video-intel,"nothing special"
	,xorg-xinput,"nothing special"
	,xorg-xsetroot,"nothing special"
	,zsh,"nothing special"
A,zsh-fast-syntax-highlighting,"provides syntax highlithing in the shell"
A,simple-mtpfs-git,"enables the mounting of cell phones"
A,libxft-bgra,"font not crashing suckless"
A,vim-gruvbox-git,"vim theme gruvbox"
#G,https://github.com/marcovannu/dwm.git,"noting at all"
#G,https://github.com/marcovannu/dwmblocks.git,"noting at all"
#G,https://github.com/marcovannu/st.git,"noting at all"
#G,https://github.com/marcovannu/dmenu.git,"noting at all"
A,mutt-wizard-git,"is a light-weight terminal-based email system"
	,slock,"allows you to lock your computer, and quickly unlock whith your password"
#G,https://github.com/jonaburg/picom,"picom, but better"
